Model,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc_macro
mlp_small,0.9494,0.9495,0.9494,0.9494,0.9496,0.9494,0.9494,0.9495,0.9494,0.9494,
mlp_medium,0.9508,0.9508,0.9508,0.9508,0.9507,0.9508,0.9508,0.9507,0.9508,0.9508,
mlp_large,0.9559,0.9559,0.9559,0.9559,0.9558,0.9559,0.9559,0.9558,0.9559,0.9559,
cnn_simple,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,
cnn_medium,0.9812,0.9812,0.9812,0.9812,0.9812,0.9812,0.9812,0.9812,0.9812,0.9812,
cnn_deep,0.9877,0.9877,0.9877,0.9877,0.9877,0.9877,0.9877,0.9877,0.9877,0.9877,
cnn_modern,0.9816,0.9815,0.9816,0.9816,0.9816,0.9816,0.9816,0.9816,0.9816,0.9816,
xgboost_fast,0.9137,0.9137,0.9137,0.9138,0.9138,0.9137,0.9137,0.9137,0.9137,0.9137,
xgboost_balanced,0.9358,0.9357,0.9358,0.9359,0.9359,0.9358,0.9358,0.9358,0.9358,0.9358,
xgboost_deep,0.944,0.9439,0.944,0.9441,0.944,0.944,0.944,0.9439,0.944,0.944,
