Model,accuracy,precision_macro,recall_macro,f1_macro,training_time,inference_time
mlp_small,0.9494,0.9495,0.9496,0.9495,60.5916,0.0025
mlp_medium,0.9508,0.9508,0.9507,0.9507,105.2525,0.0032
mlp_large,0.9559,0.9559,0.9558,0.9558,160.6598,0.0057
cnn_simple,0.9813,0.9813,0.9813,0.9813,198.7244,0.0065
cnn_medium,0.9812,0.9812,0.9812,0.9812,243.8773,0.0093
cnn_deep,0.9877,0.9877,0.9877,0.9877,359.2147,0.0135
cnn_modern,0.9816,0.9815,0.9816,0.9816,396.8929,0.0143
xgboost_fast,0.9137,0.9137,0.9138,0.9137,53.3559,0.0043
xgboost_balanced,0.9358,0.9357,0.9359,0.9358,93.3878,0.0069
xgboost_deep,0.944,0.9439,0.944,0.9439,207.3747,0.0064
